,apt_name,apt_rent_month,BHK,sq_ft,description
149,Anukampa Sky Lounges,"₹ 37 Lac
₹ 4,355/sq.ft.","2 BHK
2 Baths","849 sq.ft.
(79 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
150,Cedar Luxuria,"₹ 48 Lac
₹ 3,349/sq.ft.","2 BHK
2 Baths","1,433 sq.ft.
(133 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
151,Urbana Jewels,"₹ 33.5 Lac
₹ 2,253/sq.ft.","2 BHK
2 Baths","1,486 sq.ft.
(138 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
152,Emaar Vaikunth at Jaipur Greens,"₹ 36.61 - 93.38 Lac
₹ 1,883/sq.ft.",,"1,944-4,959 sq.ft.
(181-461 sq.m.) Plot Area",Residential land / Plot in Mahapura
153,Mahima Spring Villa,"₹ 1.29 - 1.47 Cr
₹ 3,600/sq.ft.",4 BHK,"3,596-4,094 sq.ft.
(334-380 sq.m.) Built-up Area",4 Bedroom Independent House in Tonk Road
154,VIMALA VILA,"₹ 49.75 Lac
₹ 3,554/sq.ft.","2 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ram Nagar
155,Shivraj Residency,"₹ 38.83 Lac
₹ 2,200/sq.ft.","3 BHK
3 Baths","1,765 sq.ft.
(164 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
156,Virasat Devkrishnam,"₹ 3.21 Cr
₹ 12,067/sq.ft.",3 BHK,"2,660 sq.ft.
(247 sq.m.) Super built-up Area",3 BHK Residential Apartment in C-Scheme
157,Kedias Virasat,₹ 75 Lac,"3 BHK
3 Baths","1,540 sq.ft.
(143 sq.m.) Built-up Area",3 Bedroom Independent House in Ajmer Road
158,The Manhattan,"₹ 29.2 Lac
₹ 3,455/sq.ft.","2 BHK
2 Baths","845 sq.ft.
(79 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
159,Shubh Villa,"₹ 60 Lac
₹ 3,750/sq.ft.",3 BHK,"1,600 sq.ft.
(149 sq.m.) Built-up Area",3 Bedroom Independent House in Mansarovar Extension
160,ORG Galaxy,"₹ 25 Lac
₹ 2,708/sq.ft.","2 BHK
2 Baths","923 sq.ft.
(86 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
161,Ganga Kotecha Royal Gravitaz,₹ 42.69 Lac,"3 BHK
3 Baths","1,377 sq.ft.
(128 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
162,Siddha Aangan,"₹ 58 Lac
₹ 2,548/sq.ft.","4 BHK
4 Baths","2,276 sq.ft.
(211 sq.m.) Built-up Area",4 Bedroom Independent House in Ajmer Road
163,Vatika IVY Homes,"₹ 46 Lac
₹ 3,680/sq.ft.","2 BHK
2 Baths","1,250 sq.ft.
(116 sq.m.) Built-up Area",2 Bedroom Independent House in Ajmer Road
164,Auric The Century Park,₹ 13.9 Lac,1 BHK,"564 sq.ft.
(52 sq.m.) Super built-up Area",1 BHK Residential Apartment in Bhankrota
165,Omaxe City,"₹ 23.39 - 58.48 Lac
₹ 1,444/sq.ft.",,"1,620-4,050 sq.ft.
(151-376 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
166,Vardhman Kings Court,₹ 54.58 Lac,"3 BHK
3 Baths","1,475 sq.ft.
(137 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
167,KGK Infiniti Homes,₹ 19.08 - 60.84 Lac,,"1,014-3,236 sq.ft.
(94-301 sq.m.) Plot Area",Residential land / Plot in Narsinghpura
168,ACG Shree Balaji Homes,₹ 39 Lac,"3 BHK
3 Baths","1,450 sq.ft.
(135 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
169,Unique New Town,"₹ 37 - 39 Lac
₹ 3,511/sq.ft.","3 BHK
3 Baths","1,037-1,127 sq.ft.
(96-105 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
170,On Request,"₹ 21 Lac
₹ 1,826/sq.ft.","2 BHK
2 Baths","1,150 sq.ft.
(107 sq.m.) Super built-up Area",2 BHK Residential Apartment in Dholai
171,Terraza Greens,"₹ 58 Lac
₹ 3,429/sq.ft.",3 BHK,"1,691 sq.ft.
(157 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
172,Vatika Suraksha Enclave,"₹ 14.65 - 74.75 Lac
₹ 1,661/sq.ft.",,"882-4,500 sq.ft.
(82-418 sq.m.) Plot Area",Residential land / Plot in Thikariya
173,,"₹ 1.75 Cr
₹ 4,360/sq.ft.",,"4,014 sq.ft.
(373 sq.m.) Plot Area",Residential land / Plot in sirsiroad
174,MJB Villas,₹ 40 Lac,"3 BHK
3 Baths","1,300 sq.ft.
(121 sq.m.) Built-up Area",3 Bedroom Independent House in Jagatpura
175,ORG Galaxy,"₹ 15 Lac
₹ 2,529/sq.ft.","1 BHK
1 Bath","593 sq.ft.
(55 sq.m.) Super built-up Area",1 BHK Residential Apartment in Ajmer Road
176,Gangaa Kotecha Royal Exotica,"₹ 70 Lac
₹ 3,181/sq.ft.","3 BHK
3 Baths","2,200 sq.ft.
(204 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
177,ORG Nakshatra,"₹ 23.5 Lac
₹ 3,893/sq.ft.",2 BHK,"603 sq.ft.
(56 sq.m.) Built-up Area",2 Bedroom Independent House in Mahapura
178,Dhanuka Sunshine Prime,"₹ 35 Lac
₹ 3,349/sq.ft.",2 BHK,"1,045 sq.ft.
(97 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
179,Cedar Luxuria,"₹ 60 Lac
₹ 3,448/sq.ft.","3 BHK
3 Baths","1,740 sq.ft.
(162 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
180,Krishcon Apartment,"₹ 28 Lac
₹ 2,666/sq.ft.","2 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Super built-up Area",2 BHK Residential Apartment in Muhana
181,Krishcon Apartment,"₹ 28 Lac
₹ 2,666/sq.ft.","2 BHK
2 Baths","1,050 sq.ft.
(98 sq.m.) Super built-up Area",2 BHK Residential Apartment in Patrakar Colony
182,Kedias Amara,₹ 71 Lac,"3 BHK
3 Baths","1,546 sq.ft.
(144 sq.m.) Built-up Area",3 Bedroom Independent House in Vaishali Nagar
183,Auric The Century Park,₹ 48.5 Lac,3 BHK,"1,315 sq.ft.
(122 sq.m.) Built-up Area",3 Bedroom Independent House in Bhankrota
184,Galaxy Enclave The Urban Village,"₹ 20.57 - 74.52 Lac
₹ 1,656/sq.ft.",,"1,242-4,499 sq.ft.
(115-418 sq.m.) Plot Area",Residential land / Plot in Mahindra Sez
185,Magalam Aadhar,"₹ 18.9 Lac
₹ 3,123/sq.ft.","2 BHK
2 Baths","605 sq.ft.
(56 sq.m.) Super built-up Area",2 BHK Residential Apartment in Gandhi Path
186,Villa 55,"₹ 65 Lac
₹ 2,500/sq.ft.","5 BHK
5 Baths","2,600 sq.ft.
(242 sq.m.) Built-up Area",5 Bedroom Independent House in Ajmer Road
187,Villa 55,"₹ 44.9 Lac
₹ 2,565/sq.ft.","3 BHK
3 Baths","1,750 sq.ft.
(163 sq.m.) Built-up Area",3 Bedroom Independent House in Ajmer Road
188,Vatika The Park Apartments,"₹ 73.8 Lac
₹ 2,650/sq.ft.","4 BHK
4 Baths","2,785 sq.ft.
(259 sq.m.) Super built-up Area",4 BHK Residential Apartment in Ajmer Road
189,Vatika The Park Apartments,"₹ 76.72 - 76.72 Lac
₹ 2,650/sq.ft.",,"2,895 sq.ft.
(269 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
190,Siddha Aangan,"₹ 62 - 75 Lac
₹ 2,653/sq.ft.","4 BHK
4 Baths","2,276-2,904 sq.ft.
(211-270 sq.m.) Built-up Area",4 Bedroom Independent House in Ajmer Road
191,Siddha Aangan,"₹ 34.71 - 37.51 Lac
₹ 2,350/sq.ft.",,"1,477-1,596 sq.ft.
(137-148 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
192,Vatika Jaipur 21,"₹ 76.52 Lac
₹ 2,350/sq.ft.","4 BHK
4 Baths","3,256 sq.ft.
(302 sq.m.) Super built-up Area",4 BHK Residential Apartment in Ajmer Road
193,Vatika Jaipur 21,"₹ 29.96 - 33.6 Lac
₹ 2,350/sq.ft.",,"1,275-1,430 sq.ft.
(118-133 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
194,Vatika Jaipur 21,"₹ 39.48 - 52.73 Lac
₹ 2,350/sq.ft.",,"1,680-2,244 sq.ft.
(156-208 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
195,Mahima Sansaar,"₹ 36.89 - 49.01 Lac
₹ 3,099/sq.ft.",,"1,190-1,581 sq.ft.
(111-147 sq.m.) Super built-up Area",3 BHK Residential Apartment in Tonk Road
196,Mahima Sansaar,"₹ 24.8 - 30.41 Lac
₹ 3,098/sq.ft.",,"800-981 sq.ft.
(74-91 sq.m.) Super built-up Area",2 BHK Residential Apartment in Tonk Road
197,Virasat Devkrishnam,"₹ 3.71 Cr
₹ 11,910/sq.ft.",4 BHK,"3,115 sq.ft.
(289 sq.m.) Super built-up Area",4 BHK Residential Apartment in C-Scheme
198,Ashadeep Vedanta,"₹ 60 Lac
₹ 3,409/sq.ft.","3 BHK
3 Baths","1,760 sq.ft.
(164 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
199,Urbana Jewels,"₹ 45 Lac
₹ 2,255/sq.ft.","3 BHK
3 Baths","1,995 sq.ft.
(185 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
200,Gangaa Kotecha Royal Exotica,"₹ 70 - 72.8 Lac
₹ 3,173/sq.ft.","3 BHK
3 Baths","2,200-2,300 sq.ft.
(204-214 sq.m.) Built-up Area",3 Bedroom Independent House in Gandhi Path
201,Auric Vedas,"₹ 28 Lac
₹ 3,110/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Built-up Area",3 Bedroom Independent House in Ajmer Road
202,Bardiya The Legend,Price on Request,"3 BHK
3 Baths","2,045 sq.ft.
(190 sq.m.) Carpet Area",3 BHK Residential Apartment in Tonk Road
203,Raghunanadan Heights,₹ 35 Lac,3 BHK,"1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
204,Anukampas Platina,"₹ 39 Lac
₹ 3,246/sq.ft.","2 BHK
2 Baths","1,201 sq.ft.
(112 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
205,Manglam Aangan Prime New,"₹ 17.9 - 89.74 Lac
₹ 1,988/sq.ft.",,"900-4,511 sq.ft.
(84-419 sq.m.) Plot Area",Residential land / Plot in Mahapura
206,Emaar Jaipur Greens,"₹ 30.1 Lac
₹ 1,672/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Mahapura
207,Villa 55,"₹ 50.9 Lac
₹ 2,482/sq.ft.","4 BHK
4 Baths","2,050 sq.ft.
(190 sq.m.) Built-up Area",4 Bedroom Independent House in Ajmer Road
208,Narvik Swapnalok,"₹ 14.65 Lac
₹ 2,344/sq.ft.",2 BHK,"625 sq.ft.
(58 sq.m.) Super built-up Area",2 BHK Residential Apartment in Jagatpura
209,Emaar Vaikunth at Jaipur Greens,"₹ 27 Lac
₹ 1,442/sq.ft.",,"1,872 sq.ft.
(174 sq.m.) Plot Area",Residential land / Plot in Mahapura
210,Emaar Vaikunth at Jaipur Greens,"₹ 46 Lac
₹ 1,460/sq.ft.",,"3,150 sq.ft.
(293 sq.m.) Plot Area",Residential land / Plot in Mahapura
211,Vardhmans Sampada,"₹ 29 Lac
₹ 3,411/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Super built-up Area",2 BHK Residential Apartment in Vaishali Nagar
212,vishvanath Residency,"₹ 38 Lac
₹ 3,076/sq.ft.","2 BHK
2 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",2 BHK Residential Apartment in Civil Lines
213,Siddha Aangan,"₹ 19.67 - 27.57 Lac
₹ 2,350/sq.ft.",,"837-1,173 sq.ft.
(78-109 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
214,Vatika Jaipur 21,"₹ 29.9 Lac
₹ 2,345/sq.ft.","2 BHK
2 Baths","1,275 sq.ft.
(118 sq.m.) Super built-up Area",2 BHK Residential Apartment in Ajmer Road
215,Emaar Vaikunth at Jaipur Greens,"₹ 39.5 Lac
₹ 1,567/sq.ft.",,"2,520 sq.ft.
(234 sq.m.) Plot Area",Residential land / Plot in Mahapura
216,,"₹ 29 Lac
₹ 1,933/sq.ft.","3 BHK
3 Baths","1,500 sq.ft.
(139 sq.m.) Super built-up Area",3 BHK Independent Builder Floor in Jagatpura
217,,"₹ 78 Lac
₹ 72,222/sq.ft.","3 BHK
3 Baths","108 sq.ft.
(10 sq.m.) Plot Area",3 Bedroom Independent House in gandhi path west vaishali nagar ext .
218,Vardhman Arcadia Greens,"₹ 1.11 Cr
₹ 7,475/sq.ft.","3 BHK
3 Baths","1,242 sq.ft.
(115 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Nagar
219,,"₹ 40 Lac
₹ 2,222/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Manglam Kanak Vrindavan
220,Vatika Jaipur 21,"₹ 39.5 Lac
₹ 2,358/sq.ft.","3 BHK
3 Baths","1,675 sq.ft.
(156 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
221,Auric The Century Park,₹ 48.5 Lac,3 BHK,"1,315 sq.ft.
(122 sq.m.) Built-up Area",3 Bedroom Independent House in Bhankrota
222,Virat Krishnav,"₹ 94.13 Lac
₹ 3,850/sq.ft.","4 BHK
4 Baths","2,445 sq.ft.
(227 sq.m.) Super built-up Area",4 BHK Residential Apartment in Vaishali Nagar
223,Vatika Infotech City,"₹ 1.2 Cr
₹ 1,333/sq.ft.",,"9,000 sq.ft.
(836 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
224,Emaar Vaikunth at Jaipur Greens,"₹ 39.2 Lac
₹ 1,556/sq.ft.",,"2,520 sq.ft.
(234 sq.m.) Plot Area",Residential land / Plot in Mahapura
225,"Panchawala ,","₹ 61 Lac
₹ 2,548/sq.ft.",,"2,394 sq.ft.
(222 sq.m.) Plot Area","Residential land / Plot in Bajri Mandi Road , Panchawala"
226,shri nath encalve,"₹ 22.22 Lac
₹ 2,222/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
227,Vatika Infotech City,"₹ 46.5 Lac
₹ 2,793/sq.ft.","2 BHK
2 Baths","1,665 sq.ft.
(155 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Ajmer Road
228,,"₹ 75 Lac
₹ 6,510/sq.ft.","3 BHK
3 Baths","1,152 sq.ft.
(107 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path(west)
229,Purple Melodia,"₹ 1.4 Cr
₹ 7,821/sq.ft.","3 BHK
4 Baths","1,790 sq.ft.
(166 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
230,Vatika Infotech City,"₹ 34.5 Lac
₹ 1,278/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
231,RR HOMES,"₹ 52 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
232,Vatika Infotech City,"₹ 28.8 Lac
₹ 889/sq.ft.",,"3,240 sq.ft.
(301 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
233,Platinum Heights,"₹ 21 Lac
₹ 2,980/sq.ft.","1 BHK
1 Bath","704 sq.ft.
(65 sq.m.) Super built-up Area",1 BHK Residential Apartment in Gandhi Path
234,Ashiana Umang,"₹ 67 Lac
₹ 3,611/sq.ft.","3 BHK
3 Baths","1,855 sq.ft.
(172 sq.m.) Super built-up Area",3 BHK Residential Apartment in Ajmer Road
235,Shree Siddh Avenue,"₹ 35.99 Lac
₹ 2,249/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
236,,"₹ 70 Lac
₹ 3,338/sq.ft.",,"2,097 sq.ft.
(195 sq.m.) Plot Area",Residential land / Plot in bajarimandi basant vihar
237,,"₹ 1 Cr
₹ 3,573/sq.ft.",,"2,799 sq.ft.
(260 sq.m.) Plot Area",Residential land / Plot in bajari mandi
238,,"₹ 93 Lac
₹ 29,903/sq.ft.",,"311 sq.ft.
(29 sq.m.) Plot Area",Residential land / Plot in kanak varindawan
239,vaishali estate,"₹ 65 Lac
₹ 3,344/sq.ft.",,"1,944 sq.ft.
(181 sq.m.) Plot Area",Residential land / Plot in vaishali estate
240,vaishali green,"₹ 47 Lac
₹ 6,963/sq.ft.","3 BHK
3 Baths","675 sq.ft.
(63 sq.m.) Plot Area",3 Bedroom Independent House in Lalarpura
241,"R.R. Home, sirsi road","₹ 52 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
242,Platinum Amaltas,"₹ 68.35 Lac
₹ 3,500/sq.ft.","3 BHK
3 Baths","1,952 sq.ft.
(181 sq.m.) Super built-up Area",3 BHK Residential Apartment in Kanakpura
243,,"₹ 62 Lac
₹ 5,103/sq.ft.","3 BHK
3 Baths","1,215 sq.ft.
(113 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
244,Manglams Grand City,"₹ 30 Lac
₹ 2,000/sq.ft.",,"1,499 sq.ft.
(139 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
245,,"₹ 28 Lac
₹ 3,111/sq.ft.",,"900 sq.ft.
(84 sq.m.) Plot Area",Residential land / Plot in gandhi path west vaishali nagar ext..
246,Gangaa Kotecha Royal Exotica,"₹ 65 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path
247,now homes,"₹ 68 Lac
₹ 3,777/sq.ft.","3 BHK
4 Baths","855 sq.ft.
(79 sq.m.) Plot Area",3 Bedroom Independent House in mansarover
248,,"₹ 52 Lac
₹ 7,222/sq.ft.","3 BHK
3 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path
249,Rajul Augusta,"₹ 1.2 Cr
₹ 6,355/sq.ft.","3 BHK
3 Baths","1,888 sq.ft.
(175 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
250,,"₹ 95 Lac
₹ 7,649/sq.ft.",,"1,242 sq.ft.
(115 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
251,Parth Homes 2,"₹ 49 Lac
₹ 3,475/sq.ft.","3 BHK
2 Baths","1,410 sq.ft.
(131 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
252,,"₹ 70 Lac
₹ 7,778/sq.ft.","3 BHK
3 Baths","900 sq.ft.
(84 sq.m.) Plot Area",3 Bedroom Independent House in Karni place road
253,Bhoomi Homes,"₹ 32 Lac
₹ 2,374/sq.ft.","3 BHK
2 Baths","1,348 sq.ft.
(125 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
254,BALAJI HOMES 2,"₹ 36.5 Lac
₹ 2,701/sq.ft.","3 BHK
2 Baths","1,351 sq.ft.
(126 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gandhi Path
255,Defined Meadows Villas,"₹ 51 Lac
₹ 6,590/sq.ft.","3 BHK
3 Baths","773 sq.ft.
(72 sq.m.) Plot Area",3 Bedroom Independent House in Jaisinghpura
256,,"₹ 45 Lac
₹ 30,000/sq.ft.",,"150 sq.ft.
(14 sq.m.) Plot Area",Residential land / Plot in amarpali nagar
257,,"₹ 2.15 Cr
₹ 7,398/sq.ft.","3 BHK
3 Baths","2,906 sq.ft.
(270 sq.m.) Plot Area",3 Bedroom Independent House in chitrakoot
258,Platinum Amaltas,"₹ 95 Lac
₹ 3,973/sq.ft.","4 BHK
4 Baths","2,391 sq.ft.
(222 sq.m.) Super built-up Area",4 BHK Residential Apartment in Kanakpura
259,,"₹ 2.6 Cr
₹ 8,254/sq.ft.",,"3,150 sq.ft.
(293 sq.m.) Plot Area",Residential land / Plot in Hanuman Nagar
260,,"₹ 8.5 Cr
₹ 22,703/sq.ft.","5 BHK
6 Baths","3,744 sq.ft.
(348 sq.m.) Plot Area",5 Bedroom Independent House in Vaishali Nagar
261,,"₹ 2.4 Cr
₹ 8,889/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Hanuman Nagar
262,Jay Sapphire,"₹ 2.66 Cr
₹ 7,000/sq.ft.","3 BHK
3 Baths","3,800 sq.ft.
(353 sq.m.) Super built-up Area",3 BHK Residential Apartment in Bhagwandas Road
263,Shiv Balaji Heights,"₹ 32 Lac
₹ 2,461/sq.ft.","3 BHK
2 Baths","1,300 sq.ft.
(121 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
264,,"₹ 32 Lac
₹ 4,000/sq.ft.","3 BHK
4 Baths","800 sq.ft.
(74 sq.m.) Plot Area",3 Bedroom Independent House in Sirsi Road
265,Resi.Flat,"₹ 49 Lac
₹ 3,629/sq.ft.","3 BHK
2 Baths","1,350 sq.ft.
(125 sq.m.) Carpet Area",3 BHK Residential Apartment in Mansarovar
266,Shree Sidh Residency,"₹ 37 Lac
₹ 2,312/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in Jagatpura
267,Balaji Homes Mansarovar,"₹ 41 Lac
₹ 3,727/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar
268,Balaji Height,"₹ 50 Lac
₹ 3,571/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
269,balaji parth homes,"₹ 49 Lac
₹ 3,500/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar
270,bajali parth homes,"₹ 38 Lac
₹ 3,454/sq.ft.","2 BHK
2 Baths","1,100 sq.ft.
(102 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar
271,,"₹ 30 Lac
₹ 4,166/sq.ft.","3 BHK
3 Baths","720 sq.ft.
(67 sq.m.) Plot Area",3 Bedroom Independent House in Bindayaka
272,,"₹ 38 Lac
₹ 5,277/sq.ft.","4 BHK
4 Baths","720 sq.ft.
(67 sq.m.) Plot Area",4 Bedroom Independent House in Bindayaka
273,janki vihar,"₹ 19.5 Lac
₹ 3,009/sq.ft.","2 BHK
2 Baths","648 sq.ft.
(60 sq.m.) Plot Area",2 Bedroom Independent House in Sirsi Road
274,Sirsi Road,"₹ 75 Lac
₹ 3,294/sq.ft.",,"2,277 sq.ft.
(212 sq.m.) Plot Area",Residential land / Plot in Meena Wala
275,,"₹ 72 Lac
₹ 6,896/sq.ft.","3 BHK
3 Baths","1,044 sq.ft.
(97 sq.m.) Plot Area",3 Bedroom Independent House in Gandhi Path
276,SNG Radiance,"₹ 51 Lac
₹ 6,000/sq.ft.","2 BHK
2 Baths","850 sq.ft.
(79 sq.m.) Carpet Area",2 BHK Independent Builder Floor in Vaishali Nagar
277,,"₹ 80 Lac
₹ 68,965/sq.ft.","3 BHK
3 Baths","116 sq.ft.
(11 sq.m.) Plot Area",3 Bedroom Independent House in Vaishali Estate
278,Resi.Flat,"₹ 49 Lac
₹ 3,629/sq.ft.","3 BHK
3 Baths","1,350 sq.ft.
(125 sq.m.) Carpet Area",3 BHK Residential Apartment in Mansarovar
279,35th Avenue,"₹ 43 Lac
₹ 2,928/sq.ft.","3 BHK
2 Baths","1,400 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Vaishali Nagar
280,Vatika Infotech City,"₹ 24 Lac
₹ 8,000/sq.ft.",,"300 sq.ft.
(28 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
281,Anukampas Platina,"₹ 58 Lac
₹ 3,249/sq.ft.","3 BHK
3 Baths","1,600 sq.ft.
(149 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
282,Anukampas Platina,"₹ 50 Lac
₹ 3,164/sq.ft.","3 BHK
3 Baths","1,580 sq.ft.
(147 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
283,Unique New Town,"₹ 37 Lac
₹ 3,564/sq.ft.","3 BHK
3 Baths","1,037 sq.ft.
(96 sq.m.) Built-up Area",3 BHK Independent Builder Floor in Jagatpura
284,Shagun Homes,"₹ 38 Lac
₹ 2,733/sq.ft.","3 BHK
2 Baths","1,390 sq.ft.
(129 sq.m.) Super built-up Area",3 BHK Residential Apartment in Gandhi Path
285,Mahima Spring Villa,"₹ 62.12 - 72.94 Lac
₹ 3,500/sq.ft.",,"1,827-2,026 sq.ft.
(170-188 sq.m.) Built-up Area",3 Bedroom Independent House in Tonk Road
286,Shree Shakambhari Kohinoor Residency,"₹ 31 Lac
₹ 2,934/sq.ft.","2 BHK
2 Baths","1,056 sq.ft.
(98 sq.m.) Super built-up Area",2 BHK Residential Apartment in Mansarovar Extension
287,Anukampas Platina,"₹ 46.9 Lac
₹ 3,362/sq.ft.","3 BHK
2 Baths","1,394 sq.ft.
(130 sq.m.) Super built-up Area",3 BHK Residential Apartment in Mansarovar Extension
288,,"₹ 5.4 Cr
₹ 6,667/sq.ft.",,"8,100 sq.ft.
(753 sq.m.) Plot Area",Residential land / Plot in Hanuman Nagar Extension
289,Vatika Infotech City,"₹ 32 Lac
₹ 889/sq.ft.",,"3,600 sq.ft.
(334 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
290,,"₹ 2.66 Cr
₹ 9,444/sq.ft.",,"2,817 sq.ft.
(262 sq.m.) Plot Area",Residential land / Plot in Vaishali Nagar
291,Manglams Grand City,"₹ 20 Lac
₹ 2,000/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
292,Manglams Grand City,"₹ 36 Lac
₹ 2,000/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
293,Manglams Grand City,"₹ 54 Lac
₹ 2,000/sq.ft.",,"2,700 sq.ft.
(251 sq.m.) Plot Area",Residential land / Plot in Ajmer Road
294,Manglams Dwarika,"₹ 33.79 Lac
₹ 1,877/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Mahapura
295,Emaar Vaikunth at Jaipur Greens,"₹ 33 Lac
₹ 1,833/sq.ft.",,"1,800 sq.ft.
(167 sq.m.) Plot Area",Residential land / Plot in Mahapura
296,Vatika Suraksha Enclave,"₹ 25.5 Lac
₹ 14,166/sq.ft.",,"180 sq.ft.
(17 sq.m.) Plot Area",Residential land / Plot in Thikariya
297,Manglam Aangan Prime New,"₹ 38.64 Lac
₹ 1,989/sq.ft.",,"1,942 sq.ft.
(180 sq.m.) Plot Area",Residential land / Plot in Mahapura
298,Manglam Aangan Prime New,"₹ 19.89 Lac
₹ 1,989/sq.ft.",,"999 sq.ft.
(93 sq.m.) Plot Area",Residential land / Plot in Mahapura
